YEAR,QUARTER,MONTH,FL_DATE,OP_UNIQUE_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY_NEW,CANCELLED,CANCELLATION_CODE,AIR_TIME,DISTANCE,WEATHER_DELAY
2022,3,8,01/08/2022 12:00:00 AM,9E,N8946A,5409,11433,1143302,31295,DTW,11203,1120302,30424,CWA,1820,1800,0.00,0.00,,62.00,363.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N8970D,4907,10980,1098002,30980,CHA,11433,1143302,31295,DTW,1640,1649,9.00,0.00,,77.00,505.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N8970D,5375,11433,1143302,31295,DTW,14524,1452401,34524,RIC,2115,2113,0.00,0.00,,69.00,456.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N903XJ,4812,15412,1541205,35412,TYS,11433,1143302,31295,DTW,0730,0728,0.00,0.00,,69.00,443.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N903XJ,4858,12478,1247805,31703,JFK,11433,1143302,31295,DTW,1255,1255,0.00,0.00,,83.00,509.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N903XJ,5159,11433,1143302,31295,DTW,12339,1233904,32337,IND,1610,1609,0.00,0.00,,40.00,231.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N903XJ,5452,11433,1143302,31295,DTW,12478,1247805,31703,JFK,1015,1012,0.00,0.00,,72.00,509.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N909XJ,5258,11433,1143302,31295,DTW,11193,1119302,33105,CVG,0831,0826,0.00,0.00,,40.00,229.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N909XJ,5437,15096,1509602,35096,SYR,11433,1143302,31295,DTW,0615,0611,0.00,0.00,,59.00,374.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N910XJ,4654,12478,1247805,31703,JFK,11433,1143302,31295,DTW,1905,1903,0.00,0.00,,79.00,509.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N917XJ,4951,11986,1198603,31986,GRR,12953,1295304,31703,LGA,1235,1230,0.00,0.00,,89.00,618.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N917XJ,4951,12953,1295304,31703,LGA,11986,1198603,31986,GRR,0910,0905,0.00,0.00,,92.00,618.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N924XJ,5058,11433,1143302,31295,DTW,10685,1068503,30685,BMI,0700,0655,0.00,0.00,,56.00,313.00,
2022,3,8,01/08/2022 12:00:00 AM,AA,N124US,1358,11057,1105703,31057,CLT,11433,1143302,31295,DTW,1302,1321,19.00,0.00,,81.00,500.00,0.00
2022,3,8,01/08/2022 12:00:00 AM,AA,N124US,1358,11433,1143302,31295,DTW,11057,1105703,31057,CLT,1528,1542,14.00,0.00,,77.00,500.00,
2022,3,8,01/08/2022 12:00:00 AM,AA,N308RD,1408,11433,1143302,31295,DTW,11057,1105703,31057,CLT,0758,0750,0.00,0.00,,70.00,500.00,
2022,3,8,01/08/2022 12:00:00 AM,AA,N655AW,1297,11057,1105703,31057,CLT,11433,1143302,31295,DTW,1925,1920,0.00,0.00,,74.00,500.00,
2022,3,8,01/08/2022 12:00:00 AM,AA,N655AW,793,11433,1143302,31295,DTW,11057,1105703,31057,CLT,0612,0606,0.00,0.00,,72.00,500.00,
2022,3,8,01/08/2022 12:00:00 AM,AA,N747UW,1673,11433,1143302,31295,DTW,14107,1410702,30466,PHX,1809,1804,0.00,0.00,,217.00,1671.00,
2022,3,8,01/08/2022 12:00:00 AM,AA,N747UW,2104,14107,1410702,30466,PHX,11433,1143302,31295,DTW,0927,0922,0.00,0.00,,206.00,1671.00,
2022,3,8,01/08/2022 12:00:00 AM,AA,N752US,1442,11298,1129806,30194,DFW,11986,1198603,31986,GRR,1525,1529,4.00,0.00,,128.00,931.00,
2022,3,8,01/08/2022 12:00:00 AM,AA,N752US,1442,11986,1198603,31986,GRR,11298,1129806,30194,DFW,1930,1929,0.00,0.00,,118.00,931.00,
2022,3,8,01/08/2022 12:00:00 AM,AA,N760US,1561,11986,1198603,31986,GRR,11298,1129806,30194,DFW,0715,0713,0.00,0.00,,131.00,931.00,
2022,3,8,01/08/2022 12:00:00 AM,AA,N803AW,1023,13303,1330303,32467,MIA,11433,1143302,31295,DTW,1941,1939,0.00,0.00,,142.00,1145.00,
2022,3,8,01/08/2022 12:00:00 AM,AA,N803NN,2374,11298,1129806,30194,DFW,11433,1143302,31295,DTW,0832,0824,0.00,0.00,,129.00,986.00,
2022,3,8,01/08/2022 12:00:00 AM,AA,N803NN,2374,11433,1143302,31295,DTW,11298,1129806,30194,DFW,1306,1258,0.00,0.00,,139.00,986.00,
2022,3,8,01/08/2022 12:00:00 AM,AA,N812AW,1555,11298,1129806,30194,DFW,11986,1198603,31986,GRR,1900,1856,0.00,0.00,,124.00,931.00,
2022,3,8,01/08/2022 12:00:00 AM,AA,N817NN,2686,11057,1105703,31057,CLT,11986,1198603,31986,GRR,1926,2000,34.00,0.00,,83.00,583.00,0.00
2022,3,8,01/08/2022 12:00:00 AM,AA,N823AW,1020,11433,1143302,31295,DTW,13303,1330303,32467,MIA,0603,0600,0.00,0.00,,149.00,1145.00,
